#anonymous_set_id	scryfall_set_id
2012J	ef3f6784-a6e8-41ff-8bed-72e0c7121298
2012K	9403aa68-56ab-48ce-86c1-10a53c54a172
2012L	f9b0c6f4-8a4f-4f36-ad3c-e1e16fb8535d
2012M	2dfea68b-b0c4-4f63-ba6c-36c9a6e3030f
2012N	4e3ab176-9a9c-41cf-8b74-8c7d5e6731f7
2012O	80b2374d-c5f1-403e-9772-f6c806fd275e
2013A	4f0f5416-2f39-4339-8b9a-5454d94a4ca6
2013B	17abd72e-22ed-4b47-87ca-929a378d0439
2013C	2a51bc89-cf7c-4c31-af17-f46bd45fef40
2013D	035a05f7-e020-4f50-a141-ed16ba704bd2
2013E	d29698eb-32e4-448f-977f-aa9b31c408b5
2013F	c8bd8520-cd98-45cd-b533-8d40c2087426
2013G	bddcd9c6-a02d-4f17-b903-3630b580d33b
2013H	19132aaf-ed11-4985-9cac-a8dc58827701
2013I	e03ee1c0-ecd2-4fcc-ac3c-e8fdb103a847
2013J	7dfc5406-c4cf-479d-b005-11e578752dc9
2013K	ae24da1d-4b3e-4eff-8860-0d69b2754175
2013L	d1b5d85e-f18a-4e47-8305-de8b6661cfbe
2013M	69093d6f-e25a-41a4-8cf5-688d7f11c0fb
2013N	7d4d5ad5-9936-419c-a278-529d560589e7
2013O	c62e6d4f-af8c-4f27-9bc8-361291890146
2014A	ed1404ce-ac05-4d93-8283-163a50bfc9b5
2014B	6733ed2b-f650-4db7-8d7d-d1fba3f60928
2014C	50a80fe4-a757-408f-ad23-52c5cc5f45cc
2014D	6320d123-ac8b-4119-8bb6-93fb8f92ed5c
2014E	7dd30d1d-f481-4f68-9383-6ddb51bbe21b
2014F	e401cbac-165b-433b-a42b-3f00ffc46652
2014G	204d2dca-1887-4721-9558-164aa7bbeb4f
2014H	6fae3972-2ed8-4203-95b7-7f1229a91468
2014I	a8487d2b-228c-4f6b-aebb-00cc06085ddb
2014J	7d4ebb59-a50b-45b8-8fff-ab70767819a5
2014K	09d844de-a5ec-401c-9b0f-f99be569b8f9
2014L	771d02d5-d5b3-4ede-9913-efd08fc7e828
2014M	6cf964e5-17d7-41d1-aaec-7c7a27b03160
2014N	b263197c-a306-4795-937f-32fabc532d9e
2014O	6ce49890-3b37-42a5-8932-dbeef1d7b62c
2014P	163844e5-077e-4e2c-a0f0-fa33fbc7bb3b
2014Q	6c7a715c-ded9-449e-89b0-c665773e9c3c
2014R	0980a6e2-eb78-4ad2-8396-cef08fce365e
2015A	b34e3169-310e-4161-82c8-868b38b9cc91
2015B	fc7ea025-628e-45f4-9e0b-73681b1f68b7
2015C	7bb5cb2b-081a-4c8c-b7e1-494046e6baa1
2015D	7e72625f-f320-4552-a719-d11e2f1853bd
2015E	a7525618-105f-4f97-98c9-0ed1522d4a8d
2015F	e6177218-1e8b-488e-8a4c-ef3af130b600
2015G	0eeb9a9a-20ac-404d-b55f-aeb7a43a7f62
2015H	0dbc7609-b12c-471a-bfd3-c57bc670c445
2015I	91719374-7ac5-4afa-ada8-5da964dcf1d4
2015J	ea6c99f9-5489-4504-b30c-c819fa3b1fd3
2015K	75af5bab-521e-47f4-b3b6-655ebddf5cb2
2016A	820ba719-0234-4ca7-9d72-e0f8d56460bb
2016B	cd51d245-8f95-45b0-ab5f-e2b3a3eb5dfe
2016C	9f6e1af2-3913-47d6-aa6a-81f34ec7224c
2016D	e1068688-13ff-4a3f-8c66-439162505e7a
2016E	5e914d7e-c1e9-446c-a33d-d093c02b2743
2016F	5f0e4093-334f-4439-bbb5-a0affafd0ffc
2016G	ad1b8847-1905-4080-9e26-80691ea7c1ef
2016H	d667e468-be8f-411f-a030-473d148deb74
2016I	910ea2a2-9f6a-4665-98f6-165ea7928952
2016J	3e0d713a-b5cb-4287-81b9-a57d4dcaf415
2017A	690dae5c-2de4-4071-b77c-19883791f987
2017B	6c69afe8-bb1e-466f-a46a-4a3e92351b25
2017C	a4a0db50-8826-4e73-833c-3fd934375f96
2017D	02d1c536-68bc-4208-9b65-7741ef1f9da8
2017E	c26402e7-838e-48db-a4b2-7abfc305998a
2017F	aa50a66a-0eb3-4bb5-acad-bc6c96f98663
2017G	65ff168b-bb94-47a5-a8f9-4ec6c213e768
2017H	5caec427-0c78-4c37-b4ec-30f7e0ba9abf
2017I	2790698c-b015-4864-9eea-8b6964478432
2017J	e9dbe497-c76a-4037-82c1-7ef338d6c54c
2017K	e2876a7e-3444-49cc-a299-aae5094f3566
2017L	fe0dad85-54bc-4151-9200-d68da84dd0f2
2017M	d9724b93-8557-4e7b-b056-919d2f8c385b
2017N	83491685-880d-41dd-a4af-47d2b3b17c10
2018A	e7140c68-d478-4ca3-9185-9a64d5e104df
2018B	2f7e40fc-772d-4a85-bfdd-01653c41d0fa
2018C	be1daba3-51c9-4e7e-9212-36e68addc26c
2018D	95f97fbc-58ef-4645-982e-43e2db6f1124
2018E	19c285e9-68e0-45e1-b82b-ac6051eb43be
2018F	ee765d6b-a5ee-4bcd-bbd0-9bc55697ed3c
2018G	2f5f2509-56db-414d-9a7e-6e312ec3760c
2018H	b6072801-1d75-48e6-bdc1-f9c19ed48ecc
2018I	8ff0b4b8-2b1b-4283-a35c-6edd5bbcf373
2018J	9e5d6aa8-3fc1-4175-a851-894e42c0e25a
2018K	6213f371-2428-42aa-a0a9-52c4947039ed
2018L	06ce6bc2-85cd-4cca-85b1-8c620d3e0902
2018M	5e72b6d5-d7ff-436d-a0c6-35d40e836ed9
2018N	597c6d4a-8212-4903-a6af-12c4ae9e13f0
2018O	08aabe3a-7c0e-4c48-b2c2-57dcb5a266a4
2018P	be071312-2af9-4c4a-bcba-b726ee1eabb1
2018Q	cdbedc27-4f24-4d89-ace1-8da1b36ac78e
2019A	503230ec-81e3-4f92-b847-ff435b1652e0
